"","600639.SS.Open","600639.SS.High","600639.SS.Low","600639.SS.Close","600639.SS.Volume","600639.SS.Adjusted"
"2008-09-02",8.77273,8.99091,8.68182,8.79091,4191278,7.687125
"2008-09-03",8.79091,8.80909,8.1,8.20909,3619846,7.178359
"2008-09-04",8.22727,8.43636,8.22727,8.34545,1764390,7.297598
"2008-09-05",8.07273,8.54545,7.9,8.13636,4862512,7.114761
"2008-09-08",8.18182,8.40909,7.63636,7.72727,2989368,6.757037
"2008-09-09",7.81818,8.04545,7.65455,7.98182,2431768,6.979625
"2008-09-10",7.89091,8.59091,7.8,8.35455,5027634,7.305554
"2008-09-11",8.36364,8.45455,8.13636,8.33636,2493052,7.289649
"2008-09-12",8.19091,8.63636,8.19091,8.40909,3170807,7.353247
"2008-09-16",8.45455,8.6,7.87273,8.03636,4533774,7.027317
"2008-09-17",8.00909,8.23636,7.68182,7.81818,3515861,6.836532
"2008-09-18",7.63636,7.70909,7.03636,7.49091,4247269,6.550354
"2008-09-19",8.23636,8.23636,8,8.23636,5476518,7.202204
"2008-09-22",8.78182,9.06364,8.13636,8.43636,13011914,7.377092
"2008-09-23",8.1,8.1,7.59091,7.7,5777129,6.73319
"2008-09-24",7.63636,8.04545,7.36364,8.02727,3786247,7.019368
"2008-09-25",7.95455,8.37273,7.78182,8.27273,7043871,7.234009
"2008-09-26",8.45455,8.76364,8.34545,8.7,10963500,7.607631
"2008-10-06",8.41818,8.45455,7.93636,8.04545,5432390,7.035265
"2008-10-07",7.72727,8.36364,7.59091,8.23636,4893033,7.202204
"2008-10-08",8,8.18182,7.58182,7.71818,4613555,6.749087
"2008-10-09",8,8.07273,7.5,7.51818,3136588,6.5742
"2008-10-10",7.30909,7.30909,6.77273,6.81818,3920166,5.962092
"2008-10-13",6.81818,7.13636,6.43636,7.09091,3225379,6.200577
"2008-10-14",7.28182,7.40909,6.78182,6.8,4696197,5.946194
"2008-10-15",6.65455,6.89091,6.5,6.6,1740107,5.771306
"2008-10-16",6.19091,6.5,6.19091,6.3,3006362,5.508974
"2008-10-17",6.47273,6.5,6.31818,6.37273,1666847,5.572571
"2008-10-20",6.37273,6.74545,6.34545,6.70909,2216467,5.866699
"2008-10-21",6.73636,6.80909,6.59091,6.63636,2438454,5.8031
"2008-10-22",6.60909,6.7,6.34545,6.35455,1690021,5.556674
"2008-10-23",6.44545,6.77273,6.40909,6.72727,5610460,5.882596
"2008-10-24",6.6,6.71818,6.39091,6.41818,3036094,5.612316
"2008-10-27",6.18182,6.25455,5.77273,5.77273,2783938,5.047907
"2008-10-28",5.52727,5.86364,5.46364,5.73636,3084617,5.016104
"2008-10-29",5.80909,5.90909,5.19091,5.25455,2647438,4.59479
"2008-10-30",5.34545,5.68182,5.23636,5.62727,6006392,4.920712
"2008-10-31",5.55455,5.81818,5.46364,5.63636,3699530,4.928659
"2008-11-03",5.62727,5.62727,5.37273,5.50909,2051444,4.81737
"2008-11-04",5.50909,5.50909,5.2,5.23636,1446867,4.578885
"2008-11-05",5.31818,5.54545,5.28182,5.43636,1979635,4.753772
"2008-11-06",5.22727,5.48182,5.2,5.45455,2053709,4.769678
"2008-11-07",5.33636,5.70909,5.27273,5.63636,3601181,4.928659
"2008-11-10",5.80909,6.07273,5.64545,6.03636,3651659,5.278435
"2008-11-11",5.96364,6.38182,5.89091,6.05455,7227097,5.294343
"2008-11-12",5.94545,6.38182,5.94545,6.32727,3613391,5.53282
"2008-11-13",6.22727,6.77273,6.22727,6.53636,5170480,5.715656
"2008-11-14",6.69091,7.13636,6.55455,7.05455,5148976,6.168783
